show_title,language,genres,summary
The Waterfront,English,"('Drama', 'Crime')","<p>For decades, the Buckley family has ruled Havenport, North Carolina, dominating everything from the local fishing industry to the town's restaurant scene. But their fishing empire has started to crumble as patriarch Harlan Buckley recovers from two heart attacks, and his wife Belle and son Cane venture into the deep end to keep the family businesses afloat. As their attempts spiral out of control and into treacherous waters, Harlan steps back in to take command. Facing her own demons, Buckley daughter Bree — an addict in recovery who's lost custody of her son — finds herself entangled in a complicated relationship that could threaten the family's future forever. The series is inspired by true events.</p>"
Gabby's Dollhouse,English,"('Children',)","<p>Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures.</p>"
Fred and Rose West: Reopened,English,"('Crime',)","<p>A team of investigators explores claims the Wests were responsible for many more murders than the 12 women and girls they are known to have killed. </p><p>This series, shown on consecutive nights, features former detective chief inspector Colin Sutton, investigative psychologist Donna Youngs, author and West expert Howard Sounes, and reporter Sir Trevor McDonald following up new leads to try to shed new light on the true number of the Wests' victims and their identities.</p>"
The Survivors,English,"('Drama', 'Crime')","<p>Fifteen years ago, the loss of three young people tore this sleepy seaside town apart. Now, the mysterious death of a young woman dredges up the past.</p>"
Forever,English,"('Drama', 'Crime', 'Supernatural')","<p>Doctor Henry Morgan, New York City's star medical examiner, has a secret. He doesn't just study the dead to solve criminal cases, he does it to solve the mystery that has eluded him for 200 years - the answer to his own inexplicable immortality. This long life has given Henry remarkable observation skills which impresses his new partner, Detective Jo Martinez. Each week, a new case and their budding friendship will reveal layers of Henry's long and colorful past. Only his best friend and confidant, Abe knows Henry's secret.</p>"
Cobra Kai,English,"('Drama', 'Comedy', 'Action')","<p>Thirty years after the events of the 1984 All Valley Karate Tournament, Johnny Lawrence's life has taken a rocky turn as he tries to forget a past that constantly haunts him. He seeks redemption by reopening the infamous Cobra Kai karate dojo. But the LaRusso-Lawrence rivalry of yesteryear is reignited when their lives become intertwined with the next generation of ""karate kids"".</p>"
Apple Cider Vinegar,English,"('Drama', 'Crime')","<p>Belle and Milla captivate the world with their wellness brands — until tragedy, lies and ignorance unmask the real cost of false hope.</p>"
Devil May Cry,English,(),"<p>When a mysterious villain threatens to open the gates of Hell, a devilishly handsome demon hunter could be the world's best hope for salvation.</p>"
C*A*U*G*H*T,English,"('Comedy', 'War')","<p><b>C*A*U*G*H*T </b>follows four Australian soldiers sent on a secret mission to a war-torn country. Mistaken for Americans, they are captured by freedom fighters and produce a hostage video that goes viral. When the soldiers reach celebrity status, they realize that being caught might just be the best thing that could've happened to them.</p>"
Bad Influence,English,(),"<p><b>Bad Influence!</b> was a mid 1990s British factual television program shown on Children's ITV that looked at video games and computer technology. It was shown on Thursdays at 4:45pm between 29 October 1992 and 2 January 1996 and had a run of four series of between 13 and 15 shows of twenty minutes. For at least two of the four series, it had the highest ratings of any CITV program.</p>"
Black Doves,English,"('Drama', 'Thriller', 'Espionage')","<p>Helen Webb, politician's wife, doting mother, and professional spy, has been passing on her husband's secrets to the Black Doves, the shadowy organization for whom she works. But when her lover Jason is assassinated, Helen's life is turned upside down, and only her old friend Sam Young can keep her safe. But Sam, a suave, champagne-drinking assassin, also has problems of his own. Out of the game, since his last job went wrong, he soon realizes his past is coming back to haunt him. Together, they set off on a mission that will lead them to uncover a vast, interconnected conspiracy. One that links the murky underworld of London to a looming geopolitical crisis — and leads them to question the cost of the moral choices they've made.</p>"
Sweet Magnolias,English,"('Drama', 'Romance')","<p><b>Sweet Magnolias</b> centers on three South Carolina women, best friends since high school, as they shepherd each other through the complexities of romance, career, and family.</p>"
Cold Case,English,"('Drama', 'Crime')","<p><b>Cold Case</b> is a drama about Lilly Rush, an enigmatic and highly effective detective on the Philadelphia Homicide Squad. Rush's instinctive understanding of the criminal mind and her singular passion for uncovering the truth makes her the perfect fit for investigating cold cases, yester-crimes that have remained unsolved - some only a few months old, others going back decades. Rush and her team use their wits to take on aging evidence and witnesses with buried secrets, uncovering fresh clues, digging into old wounds and doggedly pursuing the truth.</p>"
Virgin River,English,"('Drama', 'Romance')",<p>Melinda Monroe answers an ad to work as a nurse practitioner in the remote California town of <b>Virgin River</b> thinking it will be the perfect place to start fresh and leave her painful memories behind. But she soon discovers that small-town living isn't quite as simple as she expected and that she must learn to heal herself before she can truly make Virgin River her home.</p>
Toxic Town,English,"('Drama',)","<p>When dozens of babies in Corby are born with disabilities, their mothers embark on a battle to hold those responsible to account. Based on a true story.</p>"
Tyler Perry's Beauty in Black,English,"('Drama',)","<p><b>Beauty in Black </b>follows two women leading very different lives. While Kimmie is struggling to make a living after her mother kicked her out and Mallory is running a successful business, they find themselves entangled in each other's lives.</p>"
Bebefinn,English,"('Children', 'Music')",<p>Join baby Finn and his family on fun-filled adventures while learning something new every time. Get ready to sing and dance!</p>
The Jerry Springer Show,English,(),"<p><b>The Jerry Springer Show</b> is probably most known for its foul mouths, excessive fighting, excessive nudity and wacky stories. Nearly every episode, if not all, have at least one bleeped over foul word. Then there's the sound effects. A clanging bell indicates it's time for a fight! Whenever a fat woman shows her boobs, the sound of a cow going ""MOO!"" is heard. Even the audience gets into it! Women show their boobs to get ""Springer Beads"". Whenever a touching good moment happens or an audience member asks a goody goody logical question, the audience chants, ""Go to Oprah""! TV Guide voted The Jerry Springer Show as the ""Worst Show In The History of Television."" A new UK version will soon be airing on ITV1 for 4 weeks after the UK's talk show queen Trisha Goddard left ITV to present her new five show Trisha Goddard.</p>"
Stranger Things,English,"('Drama', 'Horror', 'Science-Fiction')","<p>When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.</p>"
The Royals,English,"('Drama',)","<p><b>The Royals</b> is an hour-long drama centered on a fictional modern day royal family. Queen Helena and King Simon try to present an aura of class and grace to the public, but the truth of the family's life is much different, as tainted politics and family issues threaten to cause chaos and turmoil. The monarchs' rebellious daughter, Princess Eleanor, provides fodder for the tabloids with a life full of sex, drugs, and even hung-over helicopter rides. Her twin brother, Prince Liam, is a playboy who takes full advantage of being one of the planet's most eligible bachelors. It's a life Liam enjoys until his older brother -- and heir to the throne -- dies, making Liam next in line to inherit the throne. Power is everything, there are no limits, and trust is nonexistent for this royal family.</p>"
The Madness,English,"('Thriller',)","<p>In <b>The Madness</b>, media pundit Muncie Daniels must fight for his innocence and his life after he stumbles upon a murder deep in the Poconos woods. As the walls close in, Muncie strives to reconnect with his estranged family - and his lost ideals - in order to survive.</p>"
Departure,English,"('Drama', 'Thriller', 'Mystery')","<p>Amid a background of personal tragedy, the brilliant Kendra Malley is recruited on both sides of the pond to investigate a series of devastating, yet mysterious mass transportation incidents.</p>"
Love Is Blind,English,"('Romance',)","<p>With no distractions from the outside world, the singles talk to a stream of potential love interests and when a meaningful connection is made, they propose and then lay their eyes on their fiancé for the first time. Engaged and back in the real world, as the couples plan their wedding day, they will quickly discover whether they can turn their emotional connection into a physical one before the fast-approaching ceremony.</p>"
A Discovery of Witches,English,"('Drama', 'Romance', 'Supernatural')","<p>Brilliant historian Diana Bishop is a witch denying her own heritage. But when she unexpectedly calls up an ancient, bewitched manuscript from Oxford's Bodleian library, one that was thought by the creatures to be lost and could answer the mysteries of their existence, she finds herself thrown into the heart of a dangerous mystery – and into the path of the enigmatic geneticist and vampire Matthew Clairmont.</p><p>Matthew is driven to solve the looming threat of the creatures' decline and extinction, but their unlikely alliance to find the book before it falls into the wrong hands – and their deepening relationship – threatens to violate age-old taboos and shake the fragile peace that exists between the species.</p>"
Wednesday,English,"('Comedy', 'Mystery', 'Supernatural')","<p>Smart, sarcastic and a little dead inside, Wednesday Addams investigates a murder spree while making new friends — and foes — at Nevermore Academy.</p>"
Surviving Black Hawk Down,English,"('War', 'History')","<p><b>Surviving Black Hawk Down</b> tells the gripping real story of the horror and heroism behind the events that inspired Ridley Scott's blockbuster movie Black Hawk Down, blending raw, immersive storytelling with first-person interviews from both sides of The Battle of Mogadishu.</p>"
Love on the Spectrum,English,"('Romance',)","<p>Relationships and the dating game are exciting but sometimes overwhelming for everyone – particularly for those on the autism spectrum. Just like neurotypical people, those on the spectrum have the same desire for intimacy and companionship as the rest of the population, but difficulties in social interaction are a key feature of Autism Spectrum Disorder, which makes finding a partner an often daunting and difficult experience. This affectionate and revealing series draws on relationship coaching to help young neuro-diverse people have a better chance of finding true love. In the fast paced and often confusing world of modern dating, <b>Love on the Spectrum</b> sets out to teach us all new lessons on love, intimacy and acceptance.</p>"
Ghosts,English,"('Comedy', 'Supernatural')","<p>Samantha and Jay throw caution to the wind when they convert their recently inherited country estate into a bed-and-breakfast. Call it mislaid plans. Not only is the place falling apart, but it's also inhabited by spirits of previous residents -- whom only Samantha can see and hear. <b>Ghosts </b>spins the funny, heartfelt story about a newfound dream that reveals connection and self-discovery aren't just for the living.</p>"
The Search for Instagram's Worst Con Artist,English,(),"<p><b>The Search for Instagram's Worst Con Artist</b> tells the inside story of Belle Gibson, the 21-year-old social influencer who claimed she cured her terminal cancer through wellness and healthy eating. Her miraculous story brought her fame and money, with a successful app, a book deal and countless television appearances. But when journalists investigated, they discovered something shocking: none of her story was true – she never had cancer. She had misled her millions of followers – and for some there were devastating consequences.</p><p>With access to friends and family who speak on the record for the first time, this series discovers the truth about Belle Gibson. Was she a manipulative, compulsive liar or a damaged young woman exploited by big brands for their own ends?</p>"
Paw Patrol,English,"('Comedy', 'Action', 'Adventure')",<p><b>PAW Patrol</b> is a CG action-adventure preschool series starring a pack of six heroic puppies led by a tech-savvy 10-year-old boy named Ryder.</p>
Young Sheldon,English,"('Comedy', 'Family')","<p>For young Sheldon Cooper, it isn't easy growing up in East Texas. Being a once-in-a-generation mind capable of advanced mathematics and science isn't always helpful in a land where church and football are king. And while the vulnerable, gifted and somewhat naïve Sheldon deals with the world, his very normal family must find a way to deal with him. His father, George, is struggling to find his way as a high school football coach and as father to a boy he doesn't understand. Sheldon's mother, Mary, fiercely protects and nurtures her son in a town where he just doesn't fit in. Sheldon's older brother, Georgie, does the best he can in high school, but it's tough to be cool when you're in the same classes with your odd younger brother. Sheldon's twin sister, Missy, sometimes resents all the attention Sheldon gets, but also remains the one person who can reliably tell Sheldon the truth. Finally, there's Sheldon's beloved Meemaw, his foul-mouthed, hard-drinking Texas grandmother who is very supportive of her grandson and his unique gifts. For 12 years on <i>The Big Bang Theory</i>, audiences have come to know the iconic, eccentric, and extraordinary Sheldon Cooper. This single-camera, half-hour comedy allows us the chance to meet him in childhood, as he embarks on his innocent, awkward, and hopeful journey toward the man he will become.</p>"
Yellowstone,English,"('Drama', 'Western')","<p><b>Yellowstone </b>follows the Dutton family, led by John Dutton, who controls the largest contiguous ranch in the United States, under constant attack by those it borders — land developers, an Indian reservation, and America's first National Park. It is an intense study of a violent world far from media scrutiny — where land grabs make developers billions, and politicians are bought and sold by the world's largest oil and lumber corporations. Where drinking water poisoned by fracking wells and unsolved murders are not news: they are a consequence of living in the new frontier. It is the best and worst of America seen through the eyes of a family that represents both.</p>"
Prison Break,English,"('Drama', 'Crime', 'Thriller')","<p>Lincoln Burrows is currently on death row and scheduled to die in a few months for an assassination his younger brother Michael is convinced he did not commit. With no other options and time winding down, Michael takes drastic measures to get himself incarcerated alongside his brother in Fox River State Penitentiary. Once he's inside, Michael - a structural engineer with the blueprints for the prison - begins to execute an elaborate plan to break Lincoln out and prove him innocent. When Michael arrives at Fox River State Penitentiary, he meets the prison denizens who will, unknowingly, help in his escape plans - his cellmate, the lovelorn Sucre; beautiful prison doctor Dr. Sara Tancredi, who happens to be the governor's daughter; former mob boss John Abruzzi; and Warden Henry Pope. Meanwhile, outside the prison walls, the brothers' childhood friend and Lincoln's lost love, attorney Veronica Donovan, works within the law to free them; Lincoln's teenage son LJ may be going down a path similar to his convicted father's; and Secret Service Agent Paul Kellerman's investigation into Lincoln's case proves that there may be a national conspiracy.</p>"
Halo,English,"('Action', 'Science-Fiction')","<p>With the galaxy on the brink of destruction, Master Chief John-117 leads his team of Spartans against the alien threat known as the Covenant.</p>"
CoComelon Lane,English,"('Children',)","<p>Join your favorite ""CoComelon"" characters on imaginative adventures as they explore feelings — and the world around them — in this story-driven series.</p>"
Breaking Bad,English,"('Drama', 'Crime', 'Thriller')","<p><b>Breaking Bad</b> follows protagonist Walter White, a chemistry teacher who lives in New Mexico with his wife and teenage son who has cerebral palsy. White is diagnosed with Stage III cancer and given a prognosis of two years left to live. With a new sense of fearlessness based on his medical prognosis, and a desire to secure his family's financial security, White chooses to enter a dangerous world of drugs and crime and ascends to power in this world. The series explores how a fatal diagnosis such as White's releases a typical man from the daily concerns and constraints of normal society and follows his transformation from mild family man to a kingpin of the drug trade.</p>"
The Perfect Couple,English,"('Drama', 'Crime', 'Mystery')","<p>Amelia Sacks is about to marry into one of the wealthiest families on Nantucket. Her disapproving future mother-in-law, famous novelist Greer Garrison Winbury, has spared no expense in planning what promises to be the premiere wedding of the season - until a body turns up on the beach. As secrets come to light, the stage is set for a real-life investigation that feels plucked from the pages of one of Greer's novels. Suddenly, everyone is a suspect.</p>"
1883,English,"('Drama', 'Adventure', 'Western')","<p><b>1883</b> follows the Dutton family as they embark on a journey west through the Great Plains toward the last bastion of untamed America. It is a stark retelling of Western expansion, and an intense study of one family fleeing poverty to seek a better future in America's promised land - Montana.</p>"
Million Dollar Secret,English,"('Adventure',)","<p><b>Million Dollar Secret </b>In this cutthroat competition series, an undercover millionaire must hide in plain sight and evade elimination to keep the money and win the game.</p>"
Temptation Island,English,"('Romance',)","<p><b>Temptation Island </b>follows four dating couples at a pivotal time in their relationship, where they must mutually decide if they are ready to commit to one another for the rest of their lives -- or should go their separate ways. Together, the couples travel to the tropical paradise of Maui, Hawaii, where they join 24 eligible men and women. There, they live the ""single life,"" in a test that is meant to help answer their most difficult questions about their relationship.</p>"
Formula 1,English,"('Sports',)",<p>Steve Jones presents Channel 4's Formula1® comprehensive highlights coverage with expert analysis provided by 13-time Grands Prix winner David Coulthard.</p>
Sonic Prime,English,"('Comedy', 'Adventure', 'Children')","<p><b>Sonic Prime</b> draws upon the keystones of the brand and features the ""Blue Blur"" of video game fame in a high-octane adventure where the fate of a strange new multiverse rests in his gloved hands. Sonic's adventure is about more than a race to save the universe, it's a journey of self-discovery and redemption.</p>"
Barbie: Life in the Dreamhouse,English,"('Comedy', 'Adventure', 'Children')","<p>The latest animated series to tie in with the popular Barbie toyline, <b>Barbie: Life in the Dreamhouse</b> was produced by Mattel. The series follows a Slice of Life look into Barbie's, well, life in her Malibu dream house, with brief Reality Television-esque asides into Barbie and her friends' thoughts. Barbie attends parties, goes to the beach, dates Ken, hangs out with her sisters, and does all of the sort of things you would expect Barbie to do. What's unexpected is the massive helping of Affectionate Self-Parody, Medium Awareness, and Parental Bonus on display, adding up to a lovingly parodic version of the Barbie universe not completely out of line with her Toy Story 3 depiction.</p>"
Little Angel,English,"('Comedy', 'Family')","<p>It's Little Angel! Where baby John, his brother, Jack, and sister, Jill inspire kids and families to have fun and to grow and learn through play. Come sing along!</p>"
The Creature Cases,English,"('Action', 'Adventure', 'Children')","<p>Special agents Sam and Kit hop the globe with their sleuthing skills, science facts and cool gadgets to solve the animal kingdom's many mysteries.</p>"
Younger,English,"('Comedy', 'Romance')","<p><b>Younger</b> follows 40-year old Liza, a suddenly single mother who tries to get back into the working world, only to find it's nearly impossible to start at the bottom at her age. When a chance encounter with a young guy at a bar convinces her she looks younger than she is, Liza tries to pass herself off as 26 - with the help of a makeover, courtesy of her best friend Maggie. Armed with new confidence, she lands a job as an assistant to the temperamental Diana and teams up with her new co-worker and 20-something Kelsey to make it in the career of her dreams. Now she just has to make sure no one finds out the secret only she and Maggie share.</p>"
Bridgerton,English,"('Drama', 'Romance')","<p>Based on Julia Quinn's best-selling series of novels, <b>Bridgerton</b> is set in the sexy, lavish and competitive world of Regency London high society. From the glittering ballrooms of Mayfair to the aristocratic palaces of Park Lane and beyond, the series unveils a seductive, sumptuous world replete with intricate rules and dramatic power struggles, where no one is truly ever on steady ground. At the heart of the show is the powerful Bridgerton family. Comprised of eight close-knit siblings, this funny, witty, daring and clever group must navigate the upper ten thousand's marriage mart in search of romance, adventure and love.</p>"
"Love, Death & Robots",English,"('Horror', 'Science-Fiction', 'Thriller')","<p><b>Love, Death and Robots</b> is an animated anthology series, aimed towards adults with stories that go across every genre from science fiction, comedy, fantasy and horror, including imaginative characters such as sentient dairy products, werewolf soldiers and robots gone wild.</p>"
Suits,English,"('Drama', 'Legal')","<p><b>Suits</b> delves into the fast-paced, high-stakes world of a top Manhattan corporate law firm where hotshot associate Harvey Specter makes a risky move by hiring Mike Ross a brilliant but unmotivated college dropout, as his associate. As he becomes enmeshed in this unfamiliar world, Mike relies heavily on the firm's best paralegal Rachel Zane and Harvey's no-nonsense assistant Donna Paulsen to help him serve justice. With a photographic memory and the street smarts of a hustler, Mike proves to be a legal prodigy despite the absence of bonafide legal credentials.</p>"
Hot Wheels Let's Race,English,"('Comedy', 'Action')","<p>Based on the number-one selling toy in the world, <b>Hot Wheels Let's Race</b> is a high-octane series that ignites and unlocks the challenger spirit within every racer! The series follows the newest generation of racers as they experience mind-blowing races, extreme stunt contests, and thrill-seeking challenges.</p>"
The Rookie,English,"('Drama', 'Comedy', 'Crime')","<p><b>The Rookie</b> is inspired by a true story. John Nolan is the oldest rookie in the LAPD. At an age where most are at the peak of their career, Nolan cast aside his comfortable, small town life and moved to L.A. to pursue his dream of being a cop. Now, surrounded by rookies twenty years his junior, Nolan must navigate the dangerous, humorous and unpredictable world of a ""young"" cop, determined to make his second shot at life count.</p>"
Resident Alien,English,"('Drama', 'Comedy', 'Science-Fiction')","<p><b>Resident Alien</b> is a dark, twisted and comedic fish-out-of-water story that follows a crash-landed alien named Harry who, after taking on the identity of a small-town Colorado doctor, slowly begins to wrestle with the moral dilemma of his secret mission on Earth — ultimately asking the question, ""Are human beings worth saving?""</p>"
Nobody Wants This,English,"('Comedy',)","<p>An agnostic sex podcaster and a rabbi walk into a party. No, it's not the start of a joke — it's the beginning of a love story. And it's complicated.</p>"
Bad Dinosaurs,English,"('Comedy', 'Adventure', 'Children')","<p>A lovably mischievous Tyrannosaurus family explores their colorful prehistoric world, having slapstick fun with the silly dinosaurs who live there.</p>"
Brooklyn Nine-Nine,English,"('Comedy', 'Action', 'Crime')","<p><b>Brooklyn Nine-Nine</b> is an ensemble comedy about a talented-but-carefree detective, a by-the-book police captain and their precinct colleagues. While based in the workplace, Brooklyn Nine-Nine is not really about the job – it's about the men and women behind the badge.</p>"
North of North,English,"('Comedy',)","<p>Siaja is a young Inuk mother who wants to build a new future for herself. After a spontaneous — and extremely public — exit from her marriage, Siaja has to find a job and a place for her and her young daughter to live, and fast. Her only option might be to go from one complicated living situation to another — where Siaja's dreams of a fresh start collide with some long-kept secrets. To top it all off, this is happening in a small Arctic town where everybody knows your business.</p>"
Sam & Cat,English,"('Comedy', 'Children')","<p>Prepare to meet the strangest match made in bestie heaven -- <b>Sam &amp; Cat</b>! Sam is loud, independent, and tough as nails, while Cat is sweet as pie and super flighty. But that doesn't stop this unlikely pair from becoming best buds and roomies! Together, they're a power duo with a love for fun and adventure -- it's just too bad that it doesn't come cheap. A booming out-of-home babysitting business quickly becomes the answer to their empty-pocket problems, but also an extra reason for countless wacky adventures to come!</p>"
Chip and Potato,English,"('Children',)","<p>Lovable pug Chip starts kindergarten, makes new friends and tries new things --with a little help from Potato, her secret mouse pal.</p>"
I Am a Killer,English,"('Crime',)","<p><b>I Am a Killer</b> gives a fascinating and in-depth insight into the stories of prisoners on death row in America, awaiting their fate. Showing that there are multiple sides to every story, each episode profiles prisoners convicted of capital murder and sentenced to death. The series features never before seen footage with extraordinary access to prisons across America. Each convicted prisoner recounts the events that led up to their crime and, shockingly, the event itself. We discover their motivations, their expectations and ultimately how they now view the crime, after time spent on death row. Different viewpoints and the impact of decisions made in a split second that have changed the course of the killers' lives throw into question the viewer's opinions towards the killers.</p>"
Dexter,English,"('Drama', 'Crime', 'Mystery')","<p>He's smart, he's good looking, and he's got a great sense of humor. He's Dexter Morgan, everyone's favorite serial killer. As a Miami forensics expert, he spends his days solving crimes, and nights committing them. But Dexter lives by a strict code of honor that is both his saving grace and lifelong burden. Torn between his deadly compulsion and his desire for true happiness, Dexter is a man in profound conflict with the world and himself.</p>"
The Lincoln Lawyer,English,"('Drama', 'Crime', 'Legal')","<p>Mickey Haller, an iconoclastic idealist, runs his law practice out of the back seat of his Lincoln Town Car, as he takes on cases big and small across the expansive city of Los Angeles.</p>"
The Resident,English,"('Drama', 'Thriller', 'Medical')","<p><b>The Resident</b> is a powerful new medical drama focusing on the final years of a young doctor's training that rips back the curtain to reveal the truth of what really happens, both good and bad, in hospitals across the country.</p>"
Unicorn Academy,English,"('Comedy', 'Adventure', 'Fantasy')","<p>In this fantasy adventure series, a teenage girl and her friends defend their magical riding academy from an evil queen.</p>"
No Good Deed,English,"('Comedy', 'Thriller')","<p>When Lydia and Paul decide to move on from their empty nest to forge a new life, they list their gorgeous 1920s Spanish-style villa located in one the most desirable neighborhoods in Los Angeles - and the real estate frenzy begins. Multiple families all race to buy what they believe to be their dream house, convinced it will fix all of their very different problems. But as Lydia and Paul know all too well, sometimes the home of your dreams can be a true nightmare. As they struggle to hide the dark and dangerous secrets that linger inside their longtime home, Paul and Lydia begin to realize that the only way they'll escape the past is to finally face it.</p>"
The Cage,English,"('Drama', 'Crime')","<p>When Leanne and Matty discover they are both robbing from the safe at the inner-city casino they work in, their lives are set on a collision course; with each other, the local gangster they're stealing from, and the police</p>"
A Man on the Inside,English,"('Comedy', 'Espionage')",<p>A retired man gets a new lease on life when he answers an ad from a PI and becomes a mole in a secret investigation.</p>
